AssetNumber,LocationID,GamingDateID,GamingDate,SlotMachineKey,Plays,DaysOnFloor,ActualCoinIn,MeteredCoinIn,ActualCoinOut,MeteredCoinOut,Jackpots,Variance,ActualSoftDrop,MeteredSoftDrop,ActualHardDrop,MeteredHardDrop,ActualTicketDrop,MeteredTicketDrop,ActualTotalDrop,MeteredTotalDrop,Fills,ActualTicketIn,MeteredTicketIn,ActualTicketOut,MeteredTicketOut,ExtraCreditUsed,Bonus,ActualWin,MeteredWin,TheoreticalWin,LeaseFees,ActualAdjustedWin,MeteredAdjustedWin,CasinoCode,ManualUpdate
100443,WHXXXX,2981,2003-02-28 00:00:00.000,23513,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1560.00,1.00,1.00,0.00,0.00,1.00,1561.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500254,033606,4994,2008-09-02 00:00:00.000,-1,77,1,0.00,188.00,0.00,34.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,79.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
200071,019001,8033,2016-12-28 00:00:00.000,27934,1459,1,0.00,2759.50,0.00,2682.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407.50,0.00,690.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401114,010211,5945,2011-04-11 00:00:00.000,27933,81,1,0.00,87.25,0.00,62.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
199999,VV0101,7669,2015-12-30 00:00:00.000,24983,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
100731,WHXXXX,3451,2004-06-12 00:00:00.000,29086,682,1,0.00,168.04,0.00,109.54,91.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
401160,033608,6685,2013-04-20 00:00:00.000,28109,2277,1,0.00,2566.75,0.00,2652.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,245.58,0.00,1016.58,0.00,0.00,0.00,2652.75,0.00,0.00,0.00,2652.75,HRLV,0
103598,034008,8049,2017-01-13 00:00:00.000,30236,25,1,0.00,16.02,0.00,13.27,0.00,10.00,0.00,1.00,0.00,0.00,0.00,20.15,0.00,21.15,0.00,0.00,20.15,0.00,18.40,10.00,0.00,0.00,3.27,0.00,0.00,0.00,3.27,HRLV,0
400664,041202,4825,2008-03-17 00:00:00.000,-1,458,1,0.00,212.00,0.00,177.25,0.00,10.04,0.00,107.00,0.00,0.00,0.00,196.00,0.00,303.00,0.00,0.00,196.00,0.00,268.25,0.00,0.00,0.00,177.25,0.00,0.00,0.00,177.25,HRLV,0
500235,011602,4041,2006-01-23 00:00:00.000,-1,643,1,0.00,35104.00,0.00,24734.00,7120.00,0.00,0.00,17940.00,2290.00,2290.00,0.00,0.00,2290.00,20230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500274,034010,5413,2009-10-26 00:00:00.000,24239,365,1,0.00,1173.00,0.00,1163.00,4000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.00,0.00,266.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
400641,036006,4811,2008-03-03 00:00:00.000,-1,3134,1,0.00,2294.75,0.00,2168.25,0.00,0.00,0.00,322.00,0.00,0.00,0.00,342.75,0.00,664.75,0.00,0.00,342.75,0.00,538.25,0.00,0.00,0.00,2137.25,0.00,0.00,0.00,2137.25,HRLV,0
103210,012003,7619,2015-11-10 00:00:00.000,24823,221,1,0.00,110.50,0.00,122.25,0.00,0.00,0.00,44.00,0.00,0.00,0.00,32.48,0.00,76.48,0.00,0.00,32.48,0.00,88.23,0.00,0.00,0.00,122.25,0.00,0.00,0.00,122.25,HRLV,0
400401,WHXXXX,3778,2005-05-05 00:00:00.000,25915,378,1,0.00,181.50,0.00,146.25,69.75,0.00,0.00,110.00,126.00,126.00,0.00,0.00,126.00,236.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
300571,023001,6327,2012-04-27 00:00:00.000,29482,1598,1,0.00,3451.80,0.00,2659.10,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,253.45,0.00,240.75,50.00,0.00,0.00,2609.10,0.00,0.00,0.00,2609.10,HRLV,0
103332,031401,8076,2017-02-09 00:00:00.000,26597,167,1,0.00,335.50,0.00,555.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,364.31,0.00,704.32,0.00,0.00,0.00,555.51,0.00,0.00,0.00,555.51,HRLV,0
401031,043602,6702,2013-05-07 00:00:00.000,27850,732,1,0.00,953.75,0.00,972.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.53,0.00,151.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
500630,014404,8461,2018-03-01 00:00:00.000,26735,638,1,0.00,1812.00,0.00,1193.00,0.00,0.00,0.00,426.00,0.00,0.00,0.00,1166.38,0.00,1592.38,0.00,0.00,1166.38,0.00,973.38,0.00,0.00,0.00,1193.00,0.00,0.00,0.00,1193.00,HRLV,0
400687,060105,4933,2008-07-03 00:00:00.000,25991,1629,1,0.00,3396.25,0.00,3136.00,0.00,-5.00,0.00,441.00,0.00,0.00,0.00,8.25,0.00,449.25,0.00,0.00,8.25,0.00,186.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HRLV,0
103609,012004,7974,2016-10-30 00:00:00.000,28626,346,1,0.00,354.50,0.00,141.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,664.76,0.00,604.46,0.00,0.00,0.00,141.20,0.00,0.00,0.00,141.20,HRLV,0
