SlotMachineKey,AssetNumber,OnFloor,OffFloor,Status,LocationID,Zone,Bank,Position,Denomination,Par,SerialNumber,CabinetTypeID,DisplayID,ManufacturerID,ContributionTypeID,GameCode,Description,GameID,MultiGame,leased,contribution,MaxCoins,CasinoCode,RecordEffectiveDate,RecordTermDate,ManualUpdate,SourceSystem,LoadDTTM
34142,103795,2017-12-20 00:00:00.000,NULL,A,022603,02,"26        ","03 ",0.0100,12.4600,2065674,NULL,7,6,NULL,V Reel,200C WOLF RUN 01-05 MD,5359205,0,1,NULL,200,HRLV,2017-12-20 00:00:00.000,2017-12-19 00:00:00.000,0,IGT,2018-04-01 05:30:15.020
34489,103810,2018-02-09 00:00:00.000,NULL,A,022806,02,"28        ","06 ",0.0100,11.9300,100316,45,7,200019,NULL,V Reel,225C ASTRONOMICAL MAGIC 01-05 MD,4666488,0,1,NULL,225,HRLV,2018-02-09 00:00:00.000,2018-02-08 00:00:00.000,0,IGT,2018-04-09 05:30:14.740
32999,103784,2017-11-21 00:00:00.000,NULL,A,028202,02,"82        ","02 ",0.0100,12.5000,2065683,NULL,7,6,NULL,V Reel,180C TEXAS TEA 01-05 MD,5362821,0,1,NULL,180,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-03-03 05:30:15.533
41646,103813,2018-02-07 00:00:00.000,NULL,A,013202,01,"32        ","02 ",0.01,11.4700,W2237314,NULL,7,200022,NULL,V Reel,M/G CHEST #7 01-05 MD,5804624,0,1,NULL,250,HRLV,2018-02-07 00:00:00.000,2018-02-06 00:00:00.000,0,IGT,2018-08-28 05:30:59.653
25369,101019,2007-02-14 00:00:00.000,NULL,I,WHXXXX,WH,"XX        ","XX ",0.0100,12.4900,1092419,35,7,6,NULL,Reel,200C ALIENS .01-.20 MD,NULL,1,0,NULL,NULL,HRLV,2007-02-14 00:00:00.000,5999-12-31 00:00:00.000,0,IGT,2017-10-09 06:59:05.607
44992,300729,2017-12-21 00:00:00.000,NULL,A,027806,02,"78        ","06 ",0.05,5.2000,1956745,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4663482,0,1,NULL,100,HRLV,2017-12-21 00:00:00.000,2017-12-20 00:00:00.000,0,IGT,2018-10-25 05:32:14.600
35354,300729,2017-12-21 00:00:00.000,NULL,A,027806,02,"78        ","06 ",0.0500,5.2000,1956745,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,4663482,0,1,NULL,100,HRLV,2017-12-21 00:00:00.000,2017-12-20 00:00:00.000,0,IGT,2018-04-29 05:30:17.740
32285,103786,2017-11-28 00:00:00.000,NULL,A,012602,01,"26        ","02 ",0.0100,12.9600,1002867,33,7,200023,NULL,Participation,375C EXTRM THNDR STORM DIA 4L,4981373,1,0,NULL,375,HRLV,2017-11-28 00:00:00.000,2017-11-27 00:00:00.000,0,IGT,2018-02-11 05:30:14.543
33695,103820,2018-03-20 00:00:00.000,NULL,A,023406,02,"34        ","06 ",0.0100,11.2400,W2271299,NULL,7,200022,NULL,V Reel,175C INVADERS MORE MOOLAH M/G 01-05 MD,6560872,0,1,NULL,175,HRLV,2018-03-20 00:00:00.000,2018-03-19 00:00:00.000,0,IGT,2018-03-22 05:30:15.460
31519,300718,2017-11-21 00:00:00.000,NULL,A,028605,02,"86        ","05 ",0.0500,7.5400,1938123,NULL,7,6,NULL,Multi,GAME KING .05-1 MD,5792557,0,1,NULL,100,HRLV,2017-11-21 00:00:00.000,2017-11-20 00:00:00.000,0,IGT,2018-01-15 05:30:11.900
